Supplier (group),Year,Company Category (group),Value ($USD)
"GSK (incl. Novartis, Chiron)",2020,MNC,292067905
"GSK (incl. Novartis, Chiron)",2019,MNC,319667689
"GSK (incl. Novartis, Chiron)",2018,MNC,348142192
"GSK (incl. Novartis, Chiron)",2017,MNC,414812767
"GSK (incl. Novartis, Chiron)",2016,MNC,582579442
"GSK (incl. Novartis, Chiron)",2015,MNC,439808928
"GSK (incl. Novartis, Chiron)",2014,MNC,424098590
"GSK (incl. Novartis, Chiron)",2013,MNC,293595125
"GSK (incl. Novartis, Chiron)",2012,MNC,337518463
"GSK (incl. Novartis, Chiron)",2011,MNC,246977901
"GSK (incl. Novartis, Chiron)",2010,MNC,203256613
"GSK (incl. Novartis, Chiron)",2009,MNC,257642970
"GSK (incl. Novartis, Chiron)",2008,MNC,181505954
"GSK (incl. Novartis, Chiron)",2007,MNC,184069304
"GSK (incl. Novartis, Chiron)",2006,MNC,193433485
"GSK (incl. Novartis, Chiron)",2005,MNC,204536771
"GSK (incl. Novartis, Chiron)",2004,MNC,192502106
"GSK (incl. Novartis, Chiron)",2003,MNC,185392402
"GSK (incl. Novartis, Chiron)",2002,MNC,108771440
"GSK (incl. Novartis, Chiron)",2001,MNC,129741057
SII (incl. Bilthoven),2020,"India, Indonesia",254108416
SII (incl. Bilthoven),2019,"India, Indonesia",361076137
SII (incl. Bilthoven),2018,"India, Indonesia",340962145
SII (incl. Bilthoven),2017,"India, Indonesia",310812056
SII (incl. Bilthoven),2016,"India, Indonesia",363269975
SII (incl. Bilthoven),2015,"India, Indonesia",440992895
SII (incl. Bilthoven),2014,"India, Indonesia",393282364
SII (incl. Bilthoven),2013,"India, Indonesia",368489806
SII (incl. Bilthoven),2012,"India, Indonesia",254583814
SII (incl. Bilthoven),2011,"India, Indonesia",213858023
SII (incl. Bilthoven),2010,"India, Indonesia",51349240
SII (incl. Bilthoven),2009,"India, Indonesia",32111370
SII (incl. Bilthoven),2008,"India, Indonesia",45752298
SII (incl. Bilthoven),2007,"India, Indonesia",80794288
SII (incl. Bilthoven),2006,"India, Indonesia",38171454
SII (incl. Bilthoven),2005,"India, Indonesia",722397
SII (incl. Bilthoven),2004,"India, Indonesia",29936006
SII (incl. Bilthoven),2003,"India, Indonesia",25876082
SII (incl. Bilthoven),2002,"India, Indonesia",20027674
SII (incl. Bilthoven),2001,"India, Indonesia",18132179
Pfizer,2020,MNC,254811024
Pfizer,2019,MNC,362556727
Pfizer,2018,MNC,341832113
Pfizer,2017,MNC,235456048
Pfizer,2016,MNC,290989657
Pfizer,2015,MNC,361105225
Pfizer,2014,MNC,299015561
Pfizer,2013,MNC,219072780
Pfizer,2012,MNC,174528900
Pfizer,2011,MNC,137039700
Pfizer,2010,MNC,29962800
Sanofi Pasteur,2020,MNC,165961029
Sanofi Pasteur,2019,MNC,190801452
Sanofi Pasteur,2018,MNC,124653894
Sanofi Pasteur,2017,MNC,96920950
Sanofi Pasteur,2016,MNC,101629218
Sanofi Pasteur,2015,MNC,126082670
Sanofi Pasteur,2014,MNC,93915365
Sanofi Pasteur,2013,MNC,97098348
Sanofi Pasteur,2012,MNC,104434389
Sanofi Pasteur,2011,MNC,91703131
Sanofi Pasteur,2010,MNC,77916524
Sanofi Pasteur,2009,MNC,100273502
Sanofi Pasteur,2008,MNC,77938004
Sanofi Pasteur,2007,MNC,77748245
Sanofi Pasteur,2006,MNC,83967735
Sanofi Pasteur,2005,MNC,57053988
Sanofi Pasteur,2004,MNC,60865900
Sanofi Pasteur,2003,MNC,68561096
Sanofi Pasteur,2002,MNC,39988410
Sanofi Pasteur,2001,MNC,28981709
Janssen (incl. Berna),2017,MNC,9710280
Janssen (incl. Berna),2016,MNC,54624953
Janssen (incl. Berna),2015,MNC,79650179
Janssen (incl. Berna),2014,MNC,76597909
Janssen (incl. Berna),2013,MNC,126719499
Janssen (incl. Berna),2012,MNC,94542325
Janssen (incl. Berna),2011,MNC,213946892
Janssen (incl. Berna),2010,MNC,190376470
Janssen (incl. Berna),2009,MNC,184113495
Janssen (incl. Berna),2008,MNC,143451205
Janssen (incl. Berna),2007,MNC,77017120
Janssen (incl. Berna),2006,MNC,19561981
Janssen (incl. Berna),2005,MNC,5784466
Janssen (incl. Berna),2004,MNC,7047935
Janssen (incl. Berna),2003,MNC,4265496
Janssen (incl. Berna),2002,MNC,209295
Panacea Biotec,2020,"India, Indonesia",2400983
Panacea Biotec,2019,"India, Indonesia",1800000
Panacea Biotec,2017,"India, Indonesia",12236000
Panacea Biotec,2016,"India, Indonesia",19537050
Panacea Biotec,2015,"India, Indonesia",19439823
Panacea Biotec,2014,"India, Indonesia",22180763
Panacea Biotec,2013,"India, Indonesia",701752
Panacea Biotec,2012,"India, Indonesia",832451
Panacea Biotec,2011,"India, Indonesia",78548078
Panacea Biotec,2010,"India, Indonesia",160032804
Panacea Biotec,2009,"India, Indonesia",116467356
Panacea Biotec,2008,"India, Indonesia",115160293
Panacea Biotec,2007,"India, Indonesia",151463428
Panacea Biotec,2006,"India, Indonesia",124281631
Panacea Biotec,2005,"India, Indonesia",86838558
Panacea Biotec,2004,"India, Indonesia",43754388
Panacea Biotec,2003,"India, Indonesia",25129438
Panacea Biotec,2002,"India, Indonesia",10420935
Sanofi India,2019,"India, Indonesia",92347182
Sanofi India,2018,"India, Indonesia",44715532
Sanofi India,2017,"India, Indonesia",43716319
Sanofi India,2016,"India, Indonesia",35733050
Sanofi India,2015,"India, Indonesia",42775138
Sanofi India,2014,"India, Indonesia",336224
Sanofi India,2013,"India, Indonesia",432314
Sanofi India,2012,"India, Indonesia",1777928
Sanofi India,2011,"India, Indonesia",651005
Sanofi India,2010,"India, Indonesia",1337104
Sanofi India,2009,"India, Indonesia",52564982
Sanofi India,2008,"India, Indonesia",34219701
Sanofi India,2007,"India, Indonesia",8660260
Sanofi India,2006,"India, Indonesia",5667721
Sanofi India,2005,"India, Indonesia",8451893
Sanofi India,2004,"India, Indonesia",4501598
Sanofi India,2003,"India, Indonesia",3423375
Sanofi India,2002,"India, Indonesia",582842
Merck,2020,MNC,65304475
Merck,2019,MNC,69329045
Merck,2018,MNC,39499029
Merck,2017,MNC,38907321
Merck,2016,MNC,32666265
Merck,2015,MNC,36970382
Merck,2014,MNC,25591033
Merck,2013,MNC,19592053
Merck,2012,MNC,6432750
Merck,2008,MNC,220830
Merck,2006,MNC,1261552
Merck,2005,MNC,4666329
Merck,2004,MNC,2741254
Merck,2003,MNC,1054631
Merck,2002,MNC,625195
Merck,2001,MNC,119600
Biological E,2016,"India, Indonesia",72410750
Biological E,2015,"India, Indonesia",86156833
Biological E,2014,"India, Indonesia",82343004
Biological E,2013,"India, Indonesia",49826410
Biological E,2012,"India, Indonesia",36522602
Biological E,2011,"India, Indonesia",844097
Biological E,2010,"India, Indonesia",126887
Bio Farma,2020,"India, Indonesia",7203040
Bio Farma,2019,"India, Indonesia",18146372
Bio Farma,2018,"India, Indonesia",24626838
Bio Farma,2017,"India, Indonesia",26928658
Bio Farma,2016,"India, Indonesia",22738780
Bio Farma,2015,"India, Indonesia",30390747
Bio Farma,2014,"India, Indonesia",27774861
Bio Farma,2013,"India, Indonesia",25980482
Bio Farma,2012,"India, Indonesia",19879333
Bio Farma,2011,"India, Indonesia",21051890
Bio Farma,2010,"India, Indonesia",15005842
Bio Farma,2009,"India, Indonesia",10153148
Bio Farma,2008,"India, Indonesia",4344210
Bio Farma,2007,"India, Indonesia",4656625
Bio Farma,2006,"India, Indonesia",3565240
Bio Farma,2005,"India, Indonesia",452034
Bio Farma,2004,"India, Indonesia",2502810
Bio Farma,2003,"India, Indonesia",2111675
Bio Farma,2002,"India, Indonesia",1525622
Bio Farma,2001,"India, Indonesia",1615428
Bharat Biotech,2020,"India, Indonesia",83795461
Bharat Biotech,2019,"India, Indonesia",68671391
Bharat Biotech,2018,"India, Indonesia",38104645
Bharat Biotech,2017,"India, Indonesia",24727248
Bharat Biotech,2016,"India, Indonesia",14441424
Bharat Biotech,2015,"India, Indonesia",13211738
Bharat Biotech,2011,"India, Indonesia",3108234
Bharat Biotech,2001,"India, Indonesia",3212209
Chumakov Institute,2020,Other,44898730
Chumakov Institute,2019,Other,40211932
Chumakov Institute,2018,Other,46813025
Chumakov Institute,2017,Other,26731452
