Country of Manufacture (group),Company (group),Vaccine,Highest Pipeline (group) 1,Drug Description
Argentina,Sinergium Biotech,PCV,Marketed,
AurobindoHPV,Aurobindo,HPV,Preclinical,Human papilloma virus vaccine is under development for the prevention of HPV associated cancer. The vaccine candidate is a 7-valent vaccine. It is administered with GeneVax priming followed by VesiculoVax boosting. The vaccine candidate is developed based on PBS (prime/boost system) Vax technology platform.
Australia,Murdoch Children's Research Institute,Rota,Phase III,RV3-BB  vaccine is under investigation for the prevention of severe rotavirus gastroenteritis. The drug candidate is administered orally in the form of solution. It consists of live naturally attenuated human rotavirus particles.
Australia,Vaxxas,MR,Preclinical,Vaccine is under development for the prevention of measles and rubella. It is administered through intradermal route as patch. The vaccine is being developed based on high density microneedle array patch (HD-MAP) technology.
Australia,Vaxxas,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis infection. It is a trivalent inactivated vaccine administered through intradermal patch. The vaccine candidate is being developed based on high density microarray patch (HD-MAP) technology.
Bangladesh,Incepta Vaccine,OCV,Marketed,Cholvax is under development for the prevention of cholera. The vaccine is administered by oral route. The vaccine is a whole cell inactivated bivalent cholera vaccine.
Bavarian NordicOCV,Bavarian Nordic,OCV,Marketed,Cholera Vaccine (Dukoral) is an active immunizing agent . It is formulated in the form of suspension and effervescent granules for oral route of administration. It is indicated for active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children from 2 years of age who will be visiting endemic/epidemic areas. Dukoral is also used to treat travellers diarrhea.
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)IPV","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",IPV,Marketed,Vaccine candidate is under investigation for the prevention of poliomyelitis. The drug candidate is an inactivated vaccine.
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)MR","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",MR,Marketed,
"Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)YF","Beijing Institute of Biological Products Co., Ltd.  (CNBG Subsidiary)",YF,Marketed,
Beijing Minhai Biotec GroupHPV,Beijing Minhai Biotec Group,HPV,Preclinical,Vaccine is under development for the prevention of human papillomavirus infections. It is a genetically engineered quadrivalent vaccine.
Beijing Minhai Biotec GroupIPV,Beijing Minhai Biotec Group,IPV,Phase II,Vaccine candidate is under development for the prevention of poliomyelitis. It is an inactivated vaccine. It is administered through intramuscular route.
Beijing Minhai Biotec GroupMR,Beijing Minhai Biotec Group,MR,Marketed,Measles and Rubella combined vaccine is a live attenuated virus vaccine acts as an immunizing agent. It is a lyophilized injection preparation for subcutaneous route of administration. Measles and Rubella combined vaccine is indicated for vaccination against measles and rubella.
Beijing Minhai Biotec GroupPCV,Beijing Minhai Biotec Group,PCV,Marketed,Vaccine is under development for the prevention of Streptococcal pneumonia infections. It is a 20-valent conjugated vaccine.
Beijing Minhai Biotec GroupRota,Beijing Minhai Biotec Group,Rota,Preclinical,Vaccine is under development for the prevention of rotavirus infections. It is a pentavalent vaccine. The vaccine candidate is administered through oral route.
Belgium,Univercells,MR,Preclinical,Vaccine candidate is under development for the prevention of measles and rubella. It is being developed based on NevoLine platform.
Belgium,Univercells,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis infection. The vaccine candidate is a trivalent sabin inactivated polio vaccine (sIPV) and is being developed based on NevoLine platform.
Bharat Biotech International LimitedDTwP-HepB-Hib,Bharat Biotech International Limited,DTwP-HepB-Hib,Marketed,"Diphtheria, tetanus, pertussis, hepatitis B and haemophilus influenzae type b pentavalent vaccine (Comvac5) is a fixed dose conjugate vaccine acts as an immunizing agent. It is formulated as suspension for intramuscular route of administration. Comvac5 is indicated for primary immunization of infants and children against diseases of diphtheria, tetanus, whooping cough, hepatitis caused by hepatitis B virus and disease caused by H. Influenzae Type b."
Bharat Biotech International LimitedHPV,Bharat Biotech International Limited,HPV,Preclinical,A vaccine is under development for the prevention of human papilloma virus infections.
Bharat Biotech International LimitedIPV,Bharat Biotech International Limited,IPV,Preclinical,Vaccine candidate is under development for the prevention of poliomyelitis. It is an inactivated vaccine.
Bharat Biotech International LimitedJE,Bharat Biotech International Limited,JE,Marketed,"Japanese encephalitis virus (Jenvac) is an inactivated vero cell- derived vaccine prepared from an Indian strain of the Japanese encephalitis virus. It is formulated as injectable suspension for  intramuscular route of administration. Jenvac is indicated for active immunization against Japanese encephalitis infection, in adults and children above one year of age."
