Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Display Price
BCG,,UNICEF SD,2021,0.0976
BCG,,PAHO,2021,0.33
BCG,,UNICEF SD,2020,0.0948
BCG,,PAHO,2020,0.231
BCG,China & Lower Middle Income,V3P,2020,0.355211957
BCG,Upper Middle Income,V3P,2020,1.573036760
BCG,High Income & Super HICs,V3P,2020,7.146305245
BCG,,UNICEF SD,2019,0.092
BCG,,PAHO,2019,0.22
BCG,China & Lower Middle Income,V3P,2019,0.158950059
BCG,Upper Middle Income,V3P,2019,0.531928924
BCG,High Income & Super HICs,V3P,2019,4.842619702
BCG,,UNICEF SD,2018,0.09
BCG,,PAHO,2018,0.2073
BCG,China & Lower Middle Income,V3P,2018,0.183542827
BCG,Upper Middle Income,V3P,2018,0.444522025
BCG,High Income & Super HICs,V3P,2018,3.299780882
BCG,,UNICEF SD,2017,0.075
BCG,,PAHO,2017,0.1406
BCG,China & Lower Middle Income,V3P,2017,0.125555556
BCG,Upper Middle Income,V3P,2017,0.620268453
BCG,High Income & Super HICs,V3P,2017,1.719661863
BCG,,UNICEF SD,2016,0.068
BCG,,PAHO,2016,0.1443
BCG,China & Lower Middle Income,V3P,2016,0.2650788
BCG,Upper Middle Income,V3P,2016,0.587450167
BCG,High Income & Super HICs,V3P,2016,2.693737348
BCG,,UNICEF SD,2015,0.068
BCG,,PAHO,2015,0.1475
BCG,China & Lower Middle Income,V3P,2015,
BCG,Upper Middle Income,V3P,2015,
BCG,High Income & Super HICs,V3P,2015,
BCG,,UNICEF SD,2014,0.065
BCG,,PAHO,2014,0.12675
BCG,Upper Middle Income,V3P,2014,
BCG,High Income & Super HICs,V3P,2014,
BCG,,UNICEF SD,2013,0.0625
BCG,,PAHO,2013,0.12675
BCG,China & Lower Middle Income,V3P,2013,
BCG,Upper Middle Income,V3P,2013,
BCG,High Income & Super HICs,V3P,2013,
BCG,,UNICEF SD,2012,0.057
BCG,,PAHO,2012,0.1645
bOPV,,UNICEF SD,2021,0.0889
bOPV,,PAHO,2021,0.1384
bOPV,,UNICEF SD,2020,0.0975
bOPV,,PAHO,2020,0.14915
bOPV,China & Lower Middle Income,V3P,2020,0.293244796
bOPV,Upper Middle Income,V3P,2020,0.727949562
bOPV,High Income & Super HICs,V3P,2020,2.222176639
bOPV,,UNICEF SD,2019,0.0929
bOPV,,PAHO,2019,0.1496
bOPV,China & Lower Middle Income,V3P,2019,0.660803333
bOPV,Upper Middle Income,V3P,2019,0.642602664
bOPV,High Income & Super HICs,V3P,2019,1.897552088
bOPV,,UNICEF SD,2018,0.0952
bOPV,,PAHO,2018,0.1496
bOPV,China & Lower Middle Income,V3P,2018,0.186450914
bOPV,Upper Middle Income,V3P,2018,0.560200512
bOPV,High Income & Super HICs,V3P,2018,0.645576170
bOPV,,UNICEF SD,2017,0.12
bOPV,,PAHO,2017,0.14665
bOPV,China & Lower Middle Income,V3P,2017,0.163333333
bOPV,Upper Middle Income,V3P,2017,0.526522063
bOPV,High Income & Super HICs,V3P,2017,0.354285714
bOPV,,UNICEF SD,2016,0.12
bOPV,,PAHO,2016,0.1325
bOPV,China & Lower Middle Income,V3P,2016,0.241862125
bOPV,Upper Middle Income,V3P,2016,0.360124577
bOPV,High Income & Super HICs,V3P,2016,0.5043025
bOPV,,UNICEF SD,2015,0.1175
bOPV,China & Lower Middle Income,V3P,2015,
bOPV,Upper Middle Income,V3P,2015,
bOPV,,UNICEF SD,2014,0.1
bOPV,,UNICEF SD,2013,0.1
bOPV,,UNICEF SD,2012,0.1206
Covid-19,,UNICEF SD,2021,3
DT,,UNICEF SD,2021,0.165
DT,,PAHO,2021,0.165
DT,,UNICEF SD,2020,0.165
DT,,PAHO,2020,0.16
DT,China & Lower Middle Income,V3P,2020,0.335085307
DT,Upper Middle Income,V3P,2020,0.306640272
DT,High Income & Super HICs,V3P,2020,3.083001861
