Country,WHO Region,Current WB Status,Measure Names,Birth Cohort,GNI per Capita (USD),Label location_IMR,Label location_UMR,Population ,"Avg. Infant mortality rate (infant deaths per 1,000 live births)","Avg. Under-five mortality (deaths under age 5 per 1,000 live births)"
Afghanistan,EMR,LIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",1174821,500,,,39835428,46.381,
Albania,EUR,UMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",30469,5210,,,2872934,11.544,
Algeria,AFR,LMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",984740,3550,,,44616626,20.638,
Angola,AFR,LMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",1242848,2230,,,33933611,55.461,
Antigua,AMR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",1420,14250,,,98728,6.97,
Argentina,AMR,UMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",738513,8930,,,45605823,10.712,
Armenia,EUR,UMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",37757,4220,,,2968128,10.056,
Australia,WPR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",337376,53730,,,25788217,2.85,
Austria,EUR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",92228,51390,,,9043072,1.899,
Azerbaijan,EUR,UMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",137102,4450,,,10223344,26.056,
Bahamas,AMR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",5998,27780,,,396914,7.372,
Bahrain,EMR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",20009,22170,,,1748295,5.467,
Bangladesh,SEAR,LMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",2823519,2010,,,166303494,22.818,
Barbados,AMR,HIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",3142,14460,,,287708,7.213,
Belarus,EUR,UMIC,"Avg. Infant mortality rate (infant deaths per 1,000 live births)",91670,6330,,,9442867,2.691,
