Country (group) (copy),Vaccine Introduction Date Group,Vaccine
South Sudan,2023,YF
Ethiopia,2022,YF
Uganda,2021,YF
Sudan,2021,YF
Uganda,2023,Td
Ethiopia,2023,Td
Syria,2022,Td
Namibia,2022,Td
Mauritius,2022,Td
Liberia,2022,Td
Lesotho,2022,Td
Jordan,2022,Td
Gabon,2022,Td
Congo,2022,Td
Seychelles,2021,Td
Tunisia,2029,TCV
South Sudan,2029,TCV
India,2028,TCV
Chad,2028,TCV
Burundi,2027,TCV
Nigeria,2026,TCV
Iraq,2026,TCV
Togo,2025,TCV
Indonesia,2025,TCV
Ethiopia,2025,TCV
DRC,2025,TCV
Cambodia,2025,TCV
Senegal,2024,TCV
Mozambique,2024,TCV
Mauritania,2024,TCV
Malaysia,2024,TCV
Algeria,2024,TCV
Zambia,2023,TCV
Thailand,2023,TCV
Tanzania,2023,TCV
Madagascar,2023,TCV
Ghana,2023,TCV
Burkina Faso,2023,TCV
Bhutan,2023,TCV
South Africa,2022,TCV
Philippines,2022,TCV
Nepal,2022,TCV
Malawi,2022,TCV
Kenya,2022,TCV
Zimbabwe,2021,TCV
Samoa,2021,TCV
Liberia,2021,TCV
Somalia,2027,Rota
Syria,2026,Rota
Egypt,2026,Rota
Cuba,2026,Rota
Cabo Verde,2026,Rota
Belize,2026,Rota
China,2025,Rota
South Sudan,2024,Rota
PNG,2024,Rota
Laos,2024,Rota
Cambodia,2024,Rota
Bangladesh,2023,Rota
Viet Nam,2022,Rota
Vanuatu,2022,Rota
Ukraine,2022,Rota
Sri Lanka,2022,Rota
Solomon Islands,2022,Rota
Russia,2022,Rota
North Korea,2022,Rota
Nigeria,2022,Rota
Mongolia,2022,Rota
Indonesia,2022,Rota
Guinea,2022,Rota
Comoros,2022,Rota
Chad,2022,Rota
CAR,2022,Rota
Cameroon,2022,Rota
Bhutan,2022,Rota
Azerbaijan,2022,Rota
China,2028,PCV
Thailand,2027,PCV
Egypt,2027,PCV
South Sudan,2026,PCV
Viet Nam,2025,PCV
Somalia,2025,PCV
Montenegro,2025,PCV
Iran,2025,PCV
Gabon,2025,PCV
Chad,2025,PCV
Bosnia,2025,PCV
Sri Lanka,2024,PCV
Saint Vincent,2024,PCV
Saint Lucia,2024,PCV
Maldives,2024,PCV
Jamaica,2024,PCV
Syria,2023,PCV
North Korea,2023,PCV
Grenada,2023,PCV
Belize,2023,PCV
Vanuatu,2022,PCV
Ukraine,2022,PCV
Tajikistan,2022,PCV
Cuba,2022,PCV
Comoros,2022,PCV
Cabo Verde,2022,PCV
Belarus,2022,PCV
Tonga,2021,PCV
Timor-Leste,2021,PCV
Samoa,2021,PCV
Jordan,2021,PCV
Indonesia,2021,PCV
India,2021,PCV
Guinea,2021,PCV
