Year,Vaccine Group,Total Required Supply
2030,BCG,337271742.424812
2029,BCG,335344174.157069
2028,BCG,333317203.285786
2027,BCG,331293428.969037
2026,BCG,328478338.632476
2025,BCG,325568984.898074
2024,BCG,322878850.259095
2023,BCG,320282879.103671
2022,BCG,314294920.973914
2021,BCG,311532427.008912
2020,BCG,309471771.793409
2019,BCG,320810046.691108
2030,DTP+HepB/Hib,419272159.202742
2029,DTP+HepB/Hib,416803595.200918
2028,DTP+HepB/Hib,414197062.121296
2027,DTP+HepB/Hib,411638181.695639
2026,DTP+HepB/Hib,407859082.591572
2025,DTP+HepB/Hib,404084642.171732
2024,DTP+HepB/Hib,400411062.114724
2023,DTP+HepB/Hib,397295365.352357
2022,DTP+HepB/Hib,388591329.978673
2021,DTP+HepB/Hib,384071501.800457
2020,DTP+HepB/Hib,381156564.359614
2019,DTP+HepB/Hib,394013391.15841
2030,DTP-containing,193156721.969834
2029,DTP-containing,193935380.879775
2028,DTP-containing,194737043.545158
2027,DTP-containing,195699722.434544
2026,DTP-containing,195710263.712377
2025,DTP-containing,196439895.371283
2024,DTP-containing,197327993.75074
2023,DTP-containing,198315787.231202
2022,DTP-containing,198050314.890343
2021,DTP-containing,199161513.19665
2020,DTP-containing,200549680.348435
2019,DTP-containing,206320088.31874
2030,Diphtheria and Tetanus,391725916.421788
2029,Diphtheria and Tetanus,389783390.501913
2028,Diphtheria and Tetanus,387643869.742133
2027,Diphtheria and Tetanus,385388345.426589
2026,Diphtheria and Tetanus,382910615.477468
2025,Diphtheria and Tetanus,379708881.878127
2024,Diphtheria and Tetanus,376394140.503953
2023,Diphtheria and Tetanus,375584476.363047
2022,Diphtheria and Tetanus,358626068.53574
2021,Diphtheria and Tetanus,354071900.60159
2020,Diphtheria and Tetanus,349667651.708093
2019,Diphtheria and Tetanus,366989387.079178
2030,Hib,24256685.5626316
2029,Hib,24404048.8118421
2028,Hib,24568112.7939474
2027,Hib,24758736.1581579
2026,Hib,24991055.8307895
2025,Hib,25255024.2136842
2024,Hib,25580897.4536842
2023,Hib,25932661.5800987
2022,Hib,26222421.2085855
2021,Hib,26568005.9555921
2020,Hib,27045539.0311843
2019,Hib,27755030.5590263
2030,HepB,183701752.020986
2029,HepB,183742105.153297
2028,HepB,183681174.13836
2027,HepB,183593204.556613
2026,HepB,183094331.253498
2025,HepB,182816841.188256
2024,HepB,183188223.595204
2023,HepB,183374753.613716
2022,HepB,177385828.03706
2021,HepB,175770037.716508
2020,HepB,175696282.285946
2019,HepB,178191531.323326
2030,HepA,59009302.2188158
2029,HepA,59412796.6435
2028,HepA,59841702.3367894
2027,HepA,60254672.2649474
2026,HepA,60430516.5271184
2025,HepA,61099567.0865922
2024,HepA,61692454.2227105
2023,HepA,62383843.6943092
2022,HepA,62776893.4957566
2021,HepA,63021042.1645263
2020,HepA,63969362.0485263
2019,HepA,64128341.7242631
2030,Meningococcal,138525631.292195
2029,Meningococcal,137769701.638204
2028,Meningococcal,136973992.771825
2027,Meningococcal,136389188.888469
2026,Meningococcal,135906520.13886
2025,Meningococcal,135286563.81549
2024,Meningococcal,133373011.129225
2023,Meningococcal,133220956.741099
2022,Meningococcal,131117710.37082
2021,Meningococcal,120614613.107578
2020,Meningococcal,111665402.859923
2019,Meningococcal,108509222.326125
2030,"Measles, Rubella and Mumps",386623795.459051
2029,"Measles, Rubella and Mumps",386320724.374726
2028,"Measles, Rubella and Mumps",385987882.9933
2027,"Measles, Rubella and Mumps",384922011.289206
2026,"Measles, Rubella and Mumps",386027944.594061
2025,"Measles, Rubella and Mumps",386778152.870843
2024,"Measles, Rubella and Mumps",390626672.45052
2023,"Measles, Rubella and Mumps",396092362.216889
2022,"Measles, Rubella and Mumps",400150817.067367
2021,"Measles, Rubella and Mumps",399708833.515862
2020,"Measles, Rubella and Mumps",394867271.907887
2019,"Measles, Rubella and Mumps",378897536.763966
2030,PCV,383465715.763642
