Vaccine,Year,WB Status,Total Required Supply
DTwP-HepB-Hib,2030,LIC,54291342.1685526
DTwP-HepB-Hib,2029,LIC,53220775.1290789
DTwP-HepB-Hib,2028,LIC,52115253.3756579
DTwP-HepB-Hib,2027,LIC,51020649.5988158
DTwP-HepB-Hib,2026,LIC,49863976.0297369
DTwP-HepB-Hib,2025,LIC,50353725.0254605
DTwP-HepB-Hib,2024,LIC,51956745.2074342
DTwP-HepB-Hib,2023,LIC,66005821.924671
DTwP-HepB-Hib,2022,LIC,65003760.5694408
DTwP-HepB-Hib,2021,LIC,64563906.4973684
DTwP-HepB-Hib,2020,LIC,68768683.1656579
DTwP-HepB-Hib,2019,LIC,72202421.5118421
DTwP-HepB-Hib,2030,LMIC,205963223.868158
DTwP-HepB-Hib,2029,LMIC,204457690.261974
DTwP-HepB-Hib,2028,LMIC,202810363.601645
DTwP-HepB-Hib,2027,LMIC,201221245.500592
DTwP-HepB-Hib,2026,LMIC,198536487.044211
DTwP-HepB-Hib,2025,LMIC,196742403.367303
DTwP-HepB-Hib,2024,LMIC,192354743.807763
DTwP-HepB-Hib,2023,LMIC,175641745.184803
DTwP-HepB-Hib,2022,LMIC,212886072.155423
DTwP-HepB-Hib,2021,LMIC,187204770.316711
DTwP-HepB-Hib,2020,LMIC,194400096.920431
DTwP-HepB-Hib,2019,LMIC,203566641.335118
DTwP-HepB-Hib,2030,UMIC,78739725.3205057
DTwP-HepB-Hib,2029,UMIC,78688911.1745494
DTwP-HepB-Hib,2028,UMIC,78670660.2870459
DTwP-HepB-Hib,2027,UMIC,78617931.2874806
DTwP-HepB-Hib,2026,UMIC,78486941.164638
DTwP-HepB-Hib,2025,UMIC,76222874.3246268
DTwP-HepB-Hib,2024,UMIC,75071572.99121
DTwP-HepB-Hib,2023,UMIC,74291424.0158236
DTwP-HepB-Hib,2022,UMIC,29721946.1059978
DTwP-HepB-Hib,2021,UMIC,51382722.2340097
DTwP-HepB-Hib,2020,UMIC,36498246.7397559
DTwP-HepB-Hib,2019,UMIC,34028928.0784241
DTwP-HepB-Hib,2030,HIC,2759406.76657895
DTwP-HepB-Hib,2029,HIC,2786209.0044079
DTwP-HepB-Hib,2028,HIC,2817233.59401316
DTwP-HepB-Hib,2027,HIC,2849871.64157895
DTwP-HepB-Hib,2026,HIC,2881556.21184211
DTwP-HepB-Hib,2025,HIC,2518951.99947368
DTwP-HepB-Hib,2024,HIC,2547317.00921053
