Vaccine ,WB Status,Supplier Type,Supplier Doses,Supplier Revenues
BCG,LIC,Other,30585840.7829711,5199592.93310509
BCG,LMIC,Other,138197835.196729,24283865.6865979
BCG,UMIC,Other,22734308.8442604,18523269.5264835
BCG,HIC,Other,648721.703897,1759073.77228711
BCG,LIC,"Japan, Korea",4788533.4833223,814050.692164792
BCG,LMIC,"Japan, Korea",12556804.1547161,3775143.23620197
BCG,UMIC,"Japan, Korea",5480040.12464234,4591730.75721241
BCG,HIC,"Japan, Korea",1487157.37325646,7367883.53925473
BCG,LIC,India,17011343.7859382,2891928.4436095
BCG,LMIC,India,38332295.3650882,6809024.79724856
BCG,UMIC,India,21605803.16073,12251338.0176048
BCG,HIC,India,2903790.43632868,6630829.25630884
BCG,UMIC,China,17942093.7882353,4672121.22245647
"DT, Hep, IPV-containing",LIC,Other,22075910.6839508,7829321.23820777
"DT, Hep, IPV-containing",LMIC,Other,62593632.1667956,30661759.6502963
"DT, Hep, IPV-containing",UMIC,Other,45150670.2665638,36849031.4502372
"DT, Hep, IPV-containing",HIC,Other,2169463.13965254,15886462.5652003
"DT, Hep, IPV-containing",LIC,PAHO,78004.512683329,72544.196795496
"DT, Hep, IPV-containing",LMIC,PAHO,208949.735585026,451665.338803882
"DT, Hep, IPV-containing",UMIC,PAHO,2823457.19234467,9731066.0394022
"DT, Hep, IPV-containing",HIC,PAHO,202418.457917507,1229146.54073467
"DT, Hep, IPV-containing",LIC,"Japan, Korea",6724947.07303013,5456125.5958674
"DT, Hep, IPV-containing",LMIC,"Japan, Korea",27197452.6441526,20996027.1864808
"DT, Hep, IPV-containing",UMIC,"Japan, Korea",9572486.40516328,13288308.8217301
"DT, Hep, IPV-containing",HIC,"Japan, Korea",735587.811779619,9790589.676968
"DT, Hep, IPV-containing",LIC,India,103373844.78991,59440630.7170877
"DT, Hep, IPV-containing",LMIC,India,371059354.074255,212512001.108556
"DT, Hep, IPV-containing",UMIC,India,78537602.9760616,59091493.9259116
"DT, Hep, IPV-containing",HIC,India,4404423.37840902,16250324.0992255
"DT, Hep, IPV-containing",UMIC,China,107968119.931667,122792834.03308
"DT, Hep, IPV-containing",LIC,MNC,36268118.6733731,96110514.4844387
"DT, Hep, IPV-containing",LMIC,MNC,67405244.6095107,194517755.338098
"DT, Hep, IPV-containing",UMIC,MNC,119349880.978404,886568278.008189
"DT, Hep, IPV-containing",HIC,MNC,113893175.274027,4209768971.30884
HPV,LMIC,PAHO,8823.288235625,92468.060709346
HPV,UMIC,PAHO,858029.589327067,8992150.09614766
HPV,HIC,PAHO,54485.222395912,571005.130709162
HPV,LIC,MNC,10923173.0142787,52868157.389109
HPV,LMIC,MNC,12862632.3174603,95480197.4001966
HPV,UMIC,MNC,16071740.1492787,523646542.774851
HPV,HIC,MNC,16361804.4397659,2397370143.65096
Measles-containing,LIC,Other,3851873.99988892,2133188.30697677
Measles-containing,LMIC,Other,3087698.37745882,3401380.59485965
Measles-containing,UMIC,Other,932413.525055311,3169330.69700303
Measles-containing,LMIC,PAHO,7764.903471400,22972.466920136
Measles-containing,UMIC,PAHO,4529491.35608357,37855260.6005839
