Vaccine,WB Status,WHO Region,Market Value
BCG,LMIC,WPR,2024718.99720417
BCG,UMIC,WPR,5506281.72778589
BCG,HIC,WPR,8525221.09636056
BCG,LIC,SEAR,196411.71
BCG,LMIC,SEAR,7232215.65238822
BCG,UMIC,SEAR,4944053.74220305
BCG,LIC,EUR,234406.87235
BCG,LMIC,EUR,520998.441833333
BCG,UMIC,EUR,12937749.5199268
BCG,HIC,EUR,4673756.32711645
BCG,LIC,EMR,2309794.65091667
BCG,LMIC,EMR,3432660.07915
BCG,UMIC,EMR,5432487.8286631
BCG,HIC,EMR,3956963.04710321
BCG,LIC,AMR,90598.095325
BCG,LMIC,AMR,256868.637071429
BCG,UMIC,AMR,7333231.59610001
BCG,HIC,AMR,228436.0753125
BCG,LIC,AFR,6190981.01715
BCG,LMIC,AFR,9592238.25505476
BCG,UMIC,AFR,2746140.78675
BCG,HIC,AFR,94056.04898
bOPV,LMIC,WPR,2706693.55863955
bOPV,UMIC,WPR,9909597.49616149
bOPV,HIC,WPR,35090.01475
bOPV,LIC,SEAR,181050.63375
bOPV,LMIC,SEAR,46175909.768801
bOPV,UMIC,SEAR,8211042.47131139
bOPV,LIC,EUR,273623.898507463
bOPV,LMIC,EUR,1050489.69401724
bOPV,UMIC,EUR,3743581.8532791
bOPV,HIC,EUR,201389.265
bOPV,LIC,EMR,13440297.1316955
bOPV,LMIC,EMR,44918025.2333776
bOPV,UMIC,EMR,6185164.85428507
bOPV,HIC,EMR,2013927.16739179
bOPV,LIC,AMR,134173.0614
bOPV,LMIC,AMR,327033.65195597
bOPV,UMIC,AMR,2727236.99118134
bOPV,HIC,AMR,43913.154333582
bOPV,LIC,AFR,18632041.664466
bOPV,LMIC,AFR,27783432.2427343
bOPV,UMIC,AFR,1172611.70969851
bOPV,HIC,AFR,15609.919029851
DT,LMIC,WPR,901.6196
DT,UMIC,WPR,3817535.89130925
DT,HIC,WPR,4429438.70826668
DT,LMIC,SEAR,73977.605875
DT,LIC,EUR,58236.140666667
DT,LMIC,EUR,143631.1404125
DT,UMIC,EUR,2841389.31931864
DT,LIC,EMR,55321.484008333
DT,UMIC,EMR,0
DT,HIC,EMR,175333.08148125
DT,UMIC,AMR,29197.92610625
DT,HIC,AMR,321.833668750
DT,LIC,AFR,673547.7432875
DT,LMIC,AFR,597942.038257229
DT,UMIC,AFR,164775.331301
DT,HIC,AFR,29860.700925
DTaP,LMIC,WPR,73293.726041053
DTaP,UMIC,WPR,29958373.1194579
DTaP,HIC,WPR,11360671.2440211
DTaP,UMIC,EUR,6083998.49632264
DTaP,HIC,EUR,9174184.05408001
DTaP,HIC,EMR,10359322.200195
DTaP,HIC,AMR,140259368.320859
DTaP,LMIC,AFR,416615.547192631
DTaP-HepB-Hib-IPV,UMIC,WPR,56363397.7554189
DTaP-HepB-Hib-IPV,HIC,WPR,50030317.9052127
DTaP-HepB-Hib-IPV,UMIC,EUR,25748622.2357393
DTaP-HepB-Hib-IPV,HIC,EUR,569150459.377673
DTaP-HepB-Hib-IPV,UMIC,EMR,19614179.8949084
DTaP-HepB-Hib-IPV,HIC,EMR,57439338.2947352
DTaP-HepB-Hib-IPV,HIC,AMR,58275768.5435567
DTaP-HepB-Hib-IPV,UMIC,AFR,107148361.590447
DTaP-HepB-Hib-IPV,HIC,AFR,1485583.3798875
DTaP-HepB-IPV,LMIC,WPR,204526.559796632
DTaP-HepB-IPV,HIC,AMR,188627483.479869
DTaP-Hib,UMIC,WPR,53686519.0267282
DTaP-Hib,HIC,EUR,0
DTaP-Hib,HIC,EMR,14797184.2006063
DTaP-Hib,UMIC,AFR,0
DTaP-Hib,HIC,AFR,0
DTaP-Hib-IPV,UMIC,WPR,86260274.4313895
DTaP-Hib-IPV,HIC,WPR,26424804.8052895
DTaP-Hib-IPV,LMIC,EUR,0
DTaP-Hib-IPV,UMIC,EUR,119251032.609205
DTaP-Hib-IPV,HIC,EUR,64116582.3191792
DTaP-Hib-IPV,UMIC,EMR,1698078.84505263
DTaP-Hib-IPV,HIC,EMR,1940073.41131579
DTaP-Hib-IPV,UMIC,AMR,135746244.272484
DTaP-Hib-IPV,HIC,AMR,694068402.683074
DTaP-Hib-IPV,UMIC,AFR,0
DTaP-IPV,HIC,WPR,182174018.923514
DTaP-IPV,UMIC,EUR,30935456.1754977
DTaP-IPV,HIC,EUR,132706160.332503
DTaP-IPV,HIC,EMR,2351323.97330625
DTaP-IPV,UMIC,AMR,948557.507210526
DTaP-IPV,HIC,AMR,134593293.758149
DTwP,LMIC,WPR,412117.090878359
DTwP,UMIC,WPR,7948.50486525
DTwP,HIC,WPR,0
DTwP,LIC,SEAR,0
DTwP,LMIC,SEAR,5751411.37668745
DTwP,UMIC,SEAR,1175492.04894
DTwP,LIC,EUR,59855.3865
DTwP,LMIC,EUR,495318.20175
DTwP,UMIC,EUR,3856670.76724312
DTwP,HIC,EUR,1149432.974712
DTwP,LIC,EMR,0
DTwP,LMIC,EMR,1416121.67754
DTwP,UMIC,EMR,4156054.61903972
DTwP,HIC,EMR,154056.3008985
DTwP,LIC,AMR,43003.13895
DTwP,LMIC,AMR,155197.026225
DTwP,UMIC,AMR,3844362.46583813
DTwP,HIC,AMR,37370.54025
DTwP,LIC,AFR,112099.45365
DTwP,LMIC,AFR,80434.567125
DTwP,UMIC,AFR,0
DTwP,HIC,AFR,1537.14886875
DTwP-HepB-Hib,LMIC,WPR,11368796.9523237
DTwP-HepB-Hib,UMIC,WPR,92211.713052632
DTwP-HepB-Hib,HIC,WPR,0
DTwP-HepB-Hib,LIC,SEAR,1045465.31368421
DTwP-HepB-Hib,LMIC,SEAR,77854161.9831158
DTwP-HepB-Hib,UMIC,SEAR,19084147.7775066
DTwP-HepB-Hib,LIC,EUR,793961.916631579
DTwP-HepB-Hib,LMIC,EUR,2781625.62978947
DTwP-HepB-Hib,UMIC,EUR,1233492.38715789
DTwP-HepB-Hib,HIC,EUR,0
DTwP-HepB-Hib,LIC,EMR,11955515.162021
DTwP-HepB-Hib,LMIC,EMR,25817849.1137921
DTwP-HepB-Hib,UMIC,EMR,11232394.4812941
DTwP-HepB-Hib,HIC,EMR,15938377.8324636
DTwP-HepB-Hib,LIC,AMR,581158.962568421
DTwP-HepB-Hib,LMIC,AMR,2347293.87967895
DTwP-HepB-Hib,UMIC,AMR,21662372.7703469
DTwP-HepB-Hib,HIC,AMR,280564.47564671
DTwP-HepB-Hib,LIC,AFR,47605248.8825684
DTwP-HepB-Hib,LMIC,AFR,47559489.7458158
DTwP-HepB-Hib,UMIC,AFR,838798.099342105
DTwP-HepB-Hib,HIC,AFR,0
DTwP-Hib,UMIC,WPR,0
DTwP-Hib,UMIC,EUR,0
DTwP-Hib,HIC,EUR,0
DTwP-Hib,UMIC,EMR,0
DTwP-Hib,HIC,EMR,0
DTwP-Hib,UMIC,AMR,0
DTwP-Hib,HIC,AMR,292396.7025
DTwP-Hib,LIC,AFR,9427002.40575
DTwP-Hib,LMIC,AFR,13298464.8658737
DTwP-Hib,UMIC,AFR,0
HepA,LMIC,WPR,1098561.95526316
HepA,UMIC,WPR,161972519.731579
HepA,HIC,WPR,16475339.3541347
HepA,UMIC,EUR,52488095.8307569
HepA,HIC,EUR,22607181.3466695
HepA,LMIC,EMR,5368858.91704859
HepA,HIC,EMR,30656701.6809263
HepA,LMIC,AMR,1583757.12571382
