Country1,Matched1,WHO Region1,Latitude (generated),Longitude (generated)
Tunisia,China,WPR,35.594,9.421
Timor-Leste,Mongolia,WPR,-8.856,125.556
Uzbekistan,Bangladesh,SEAR,41.757,63.958
Turkmenistan,Sri Lanka,SEAR,39.584,59.597
Sudan,Bangladesh,SEAR,15.739,29.533
South Africa,Thailand,SEAR,-31.7,23.441
Namibia,Thailand,SEAR,-21.276,17.219
Mauritania,Indonesia,SEAR,19.413,-10.6528
Lebanon,Thailand,SEAR,34.161,36.021
Laos,Bangladesh,SEAR,19.595,102.538
India,Myanmar,SEAR,22.741,78.236
Equatorial Guinea,Thailand,SEAR,1.6342,10.4695
Cambodia,Bangladesh,SEAR,12.69,104.444
UAE,Israel,EUR,23.9299,53.9031
South Korea,Israel,EUR,36.338,128.16
Singapore,Israel,EUR,1.3389,103.8297
Qatar,Israel,EUR,25.3174,51.1522
New Zealand,Finland,EUR,-42.558,172.377
Montenegro,Serbia,EUR,42.857,19.096
Malaysia,Kazakhstan,EUR,4.416,102.099
Libya,Kazakhstan,EUR,27.24,17.571
Kuwait,Israel,EUR,29.3169,47.4272
Iraq,Turkey,EUR,33.545,43.278
Iceland,Finland,EUR,64.826,-18.417
Brunei,Spain,EUR,4.452,114.557
Bosnia,Albania,EUR,44.342,17.804
Azerbaijan,Armenia,EUR,40.46,47.883
Australia,Germany,EUR,-24.578,133.582
Algeria,Kazakhstan,EUR,28.6045,2.64
Philippines,Egypt,EMR,17.181,121.256
Nicaragua,Djibouti,EMR,12.692,-85.03
Morocco,Egypt,EMR,31.129,-7.355
Kenya,Djibouti,EMR,0.806,38.166
Jordan,Iran,EMR,30.681,36.279
Cote d'Ivoire,Djibouti,EMR,7.497,-5.336
Venezuela,Dominican Rep.,AMR,6.983,-64.588
Trinidad,Panama,AMR,10.4435,-61.2604
Suriname,Paraguay,AMR,4.248,-55.848
Saudi Arabia,Chile,AMR,24.191,44.32
Oman,Chile,AMR,19.85,56.25
Japan,Canada,AMR,35.962,137.855
Jamaica,Paraguay,AMR,18.163,-77.477
Guyana,Bolivia,AMR,5.17,-58.939
Guatemala,Paraguay,AMR,15.124,-90.711
Botswana,Mexico,AMR,-22.126,23.662
Belize,Paraguay,AMR,17.108,-88.744
Bahrain,Chile,AMR,26.025,50.5534
Bahamas,Panama,AMR,24.7032,-78.0455
Zambia,Angola,AFR,-15.13,25.268
Yemen,Sierra Leone,AFR,15.569,47.793
Togo,Sierra Leone,AFR,7.7,1.106
Tajikistan,Liberia,AFR,38.367,72.597
South Sudan,Uganda,AFR,7.1,30.48
Senegal,Ghana,AFR,15.044,-15.081
Papua New Guinea,Nigeria,AFR,-5.636,142.798
Niger,Liberia,AFR,16.996,9.915
Nepal,Liberia,AFR,28.2114,83.5608
Mozambique,Malawi,AFR,-13.852,38.042
Mali,Liberia,AFR,18.211,-2.209
Madagascar,Uganda,AFR,-19.615,46.645
Haiti,Uganda,AFR,19.3175,-72.4205
Guinea-Bissau,Rwanda,AFR,12.191,-14.475
Guinea,Liberia,AFR,10.599,-10.907
Gambia,Sierra Leone,AFR,13.499,-14.641
Ethiopia,Sierra Leone,AFR,8.435,38.786
Eritrea,Sierra Leone,AFR,15.982,38.02
DRC,Uganda,AFR,-1.418,23.607
Congo,Angola,AFR,0.509,16.08
Comoros,Lesotho,AFR,-11.6527,43.3307
Chad,Uganda,AFR,15.981,18.781
CAR,Malawi,AFR,7.043,21.424
Cameroon,Zimbabwe,AFR,4.4,12.131
Burundi,Sierra Leone,AFR,-3.333,29.749
Burkina Faso,Sierra Leone,AFR,12.673,-1.226
Benin,Rwanda,AFR,10.478,2.274
Afghanistan,Liberia,AFR,34.023,65.5267
