Country,Support Category,Routine/Campaign,Sum of Commitments $
Sudan,YF SIA,SIA,24104500
Nigeria,YF SIA,SIA,21855000
Sudan,Men A SIA,SIA,3343500
Mali,Men A SIA,SIA,2725500
Guinea-Bissau,Men A SIA,SIA,1029500
Ghana,Men A SIA,SIA,656000
CAR,Men A SIA,SIA,2933000
DRC,Measles SIA,SIA,10547000
Chad,Measles SIA,SIA,1548808
Togo,YF,Routine,111500
Sudan,YF,Routine,11037500
Sierra Leone,YF,Routine,220500
São Tomé,YF,Routine,3000
Nigeria,YF,Routine,12076500
Niger,YF,Routine,914500
Mali,YF,Routine,636000
Liberia,YF,Routine,155500
Kenya,YF,Routine,3204500
Guinea-Bissau,YF,Routine,119000
Guinea,YF,Routine,336000
Ghana,YF,Routine,422500
DRC,YF,Routine,2996000
Chad,YF,Routine,582500
CAR,YF,Routine,142500
Cameroon,YF,Routine,272500
Benin,YF,Routine,1396000
Zimbabwe,Rotavirus,Routine,1949000
Zambia,Rotavirus,Routine,1892500
Yemen,Rotavirus,Routine,1612500
Uzbekistan,Rotavirus,Routine,1584500
Togo,Rotavirus,Routine,961500
Tanzania,Rotavirus,Routine,7724500
Tajikistan,Rotavirus,Routine,2215000
Sudan,Rotavirus,Routine,5695500
Sierra Leone,Rotavirus,Routine,1047000
Senegal,Rotavirus,Routine,2228500
São Tomé,Rotavirus,Routine,52000
Rwanda,Rotavirus,Routine,8475000
Niger,Rotavirus,Routine,3011500
Nicaragua,Rotavirus,Routine,330500
Mozambique,Rotavirus,Routine,14865500
Mauritania,Rotavirus,Routine,651000
Mali,Rotavirus,Routine,5033500
Malawi,Rotavirus,Routine,2650000
Madagascar,Rotavirus,Routine,4271500
Kenya,Rotavirus,Routine,11076000
Haiti,Rotavirus,Routine,965000
Guinea-Bissau,Rotavirus,Routine,423500
Ghana,Rotavirus,Routine,6513500
Gambia,Rotavirus,Routine,724500
Ethiopia,Rotavirus,Routine,12428500
Eritrea,Rotavirus,Routine,511500
Djibouti,Rotavirus,Routine,114000
Côte d'Ivoire,Rotavirus,Routine,5915500
Congo,Rotavirus,Routine,295500
CAR,Rotavirus,Routine,152500
Cameroon,Rotavirus,Routine,3019500
Burundi,Rotavirus,Routine,1489000
Burkina Faso,Rotavirus,Routine,8287000
Angola,Rotavirus,Routine,1661500
Zimbabwe,Pneumo,Routine,5363500
Zambia,Pneumo,Routine,6091000
Yemen,Pneumo,Routine,8661500
Uzbekistan,Pneumo,Routine,6557500
Uganda,Pneumo,Routine,26935000
Togo,Pneumo,Routine,3686500
Tanzania,Pneumo,Routine,23205500
Sudan,Pneumo,Routine,19733000
Solomon Islands,Pneumo,Routine,753500
Sierra Leone,Pneumo,Routine,2903500
Senegal,Pneumo,Routine,8434000
São Tomé,Pneumo,Routine,91000
Rwanda,Pneumo,Routine,7312000
Papua New Guinea,Pneumo,Routine,1186000
Pakistan,Pneumo,Routine,59665500
Nigeria,Pneumo,Routine,106397000
Niger,Pneumo,Routine,11975500
Nicaragua,Pneumo,Routine,1419000
Nepal,Pneumo,Routine,6400000
Myanmar,Pneumo,Routine,19225500
Mozambique,Pneumo,Routine,27731500
Mongolia,Pneumo,Routine,624500
Moldova,Pneumo,Routine,199500
Mauritania,Pneumo,Routine,2370500
Mali,Pneumo,Routine,10880500
Malawi,Pneumo,Routine,9920000
