Vaccine,Year,Measure Names,Sum of Volume
BCG,2019,Sum of Volume,161280000
BCG,2018,Sum of Volume,107000000
BCG,2017,Sum of Volume,159000000
BCG,2016,Sum of Volume,138000000
BCG,2015,Sum of Volume,141000000
BCG,2014,Sum of Volume,134000000
BCG,2013,Sum of Volume,126000000
BCG,2012,Sum of Volume,102000000
BCG,2011,Sum of Volume,107000000
BCG,2010,Sum of Volume,106000000
BCG,2009,Sum of Volume,141000000
BCG,2008,Sum of Volume,106000000
BCG,2007,Sum of Volume,119000000
BCG,2006,Sum of Volume,107000000
BCG,2005,Sum of Volume,122000000
BCG,2004,Sum of Volume,108000000
BCG,2003,Sum of Volume,115000000
BCG,2002,Sum of Volume,78000000
BCG,2001,Sum of Volume,104000000
BCG,2000,Sum of Volume,88000000
DT/Td,2019,Sum of Volume,154680000
DT/Td,2018,Sum of Volume,79000000
DT/Td,2017,Sum of Volume,86000000
DT/Td,2016,Sum of Volume,59000000
DT/Td,2015,Sum of Volume,42000000
DT/Td,2014,Sum of Volume,18000000
DT/Td,2013,Sum of Volume,19000000
DT/Td,2012,Sum of Volume,12000000
DT/Td,2011,Sum of Volume,5000000
DT/Td,2010,Sum of Volume,4000000
DT/Td,2009,Sum of Volume,4000000
DT/Td,2008,Sum of Volume,5000000
DT/Td,2007,Sum of Volume,6000000
DT/Td,2006,Sum of Volume,4000000
DT/Td,2005,Sum of Volume,3000000
DT/Td,2004,Sum of Volume,5000000
DT/Td,2003,Sum of Volume,2000000
DT/Td,2002,Sum of Volume,2000000
DT/Td,2001,Sum of Volume,4000000
DT/Td,2000,Sum of Volume,3000000
DTwP,2019,Sum of Volume,6290000
DTwP,2018,Sum of Volume,9000000
DTwP,2017,Sum of Volume,12000000
DTwP,2016,Sum of Volume,11000000
DTwP,2015,Sum of Volume,6000000
DTwP,2014,Sum of Volume,5000000
DTwP,2013,Sum of Volume,7000000
DTwP,2012,Sum of Volume,20000000
DTwP,2011,Sum of Volume,33000000
DTwP,2010,Sum of Volume,30000000
DTwP,2009,Sum of Volume,36000000
DTwP,2008,Sum of Volume,58000000
DTwP,2007,Sum of Volume,76000000
DTwP,2006,Sum of Volume,93000000
DTwP,2005,Sum of Volume,110000000
DTwP,2004,Sum of Volume,116000000
DTwP,2003,Sum of Volume,116000000
DTwP,2002,Sum of Volume,87000000
DTwP,2001,Sum of Volume,82000000
DTwP,2000,Sum of Volume,92000000
DTwP-HepB,2012,Sum of Volume,0
DTwP-HepB,2011,Sum of Volume,2000000
DTwP-HepB,2010,Sum of Volume,1000000
DTwP-HepB,2009,Sum of Volume,2000000
DTwP-HepB,2008,Sum of Volume,14000000
DTwP-HepB,2007,Sum of Volume,50000000
DTwP-HepB,2006,Sum of Volume,28000000
DTwP-HepB,2005,Sum of Volume,10000000
DTwP-HepB,2004,Sum of Volume,12000000
DTwP-HepB,2003,Sum of Volume,13000000
DTwP-HepB,2002,Sum of Volume,9000000
DTwP-HepB,2001,Sum of Volume,14000000
DTwP-HepB-Hib,2019,Sum of Volume,158940000
DTwP-HepB-Hib,2018,Sum of Volume,130000000
DTwP-HepB-Hib,2017,Sum of Volume,191000000
DTwP-HepB-Hib,2016,Sum of Volume,212000000
DTwP-HepB-Hib,2015,Sum of Volume,236000000
DTwP-HepB-Hib,2014,Sum of Volume,180000000
DTwP-HepB-Hib,2013,Sum of Volume,177000000
DTwP-HepB-Hib,2012,Sum of Volume,134000000
DTwP-HepB-Hib,2011,Sum of Volume,169000000
DTwP-HepB-Hib,2010,Sum of Volume,98000000
DTwP-HepB-Hib,2009,Sum of Volume,107000000
DTwP-HepB-Hib,2008,Sum of Volume,72000000
DTwP-HepB-Hib,2007,Sum of Volume,40000000
