Vaccine,Year,Measure Names,Value (USD),WAP
BCG,2019,Value (USD),19680000,
BCG,2018,Value (USD),11400000,
BCG,2017,Value (USD),16500000,
BCG,2016,Value (USD),14300000,
BCG,2015,Value (USD),11900000,
BCG,2014,Value (USD),11600000,
BCG,2013,Value (USD),11000000,
BCG,2012,Value (USD),8200000,
BCG,2011,Value (USD),8300000,
BCG,2010,Value (USD),8000000,
BCG,2009,Value (USD),10800000,
BCG,2008,Value (USD),8400000,
BCG,2007,Value (USD),9400000,
BCG,2006,Value (USD),8600000,
BCG,2005,Value (USD),8900000,
BCG,2004,Value (USD),8500000,
BCG,2003,Value (USD),6200000,
BCG,2002,Value (USD),4400000,
BCG,2001,Value (USD),5700000,
BCG,2000,Value (USD),4400000,
DT/Td,2019,Value (USD),16160000,
DT/Td,2018,Value (USD),8900000,
DT/Td,2017,Value (USD),9400000,
DT/Td,2016,Value (USD),6400000,
DT/Td,2015,Value (USD),4600000,
DT/Td,2014,Value (USD),2000000,
DT/Td,2013,Value (USD),2000000,
DT/Td,2012,Value (USD),1200000,
DT/Td,2011,Value (USD),500000,
DT/Td,2010,Value (USD),400000,
DT/Td,2009,Value (USD),300000,
DT/Td,2008,Value (USD),400000,
DT/Td,2007,Value (USD),600000,
DT/Td,2006,Value (USD),300000,
DT/Td,2005,Value (USD),300000,
DT/Td,2004,Value (USD),300000,
DT/Td,2003,Value (USD),100000,
DT/Td,2002,Value (USD),100000,
DT/Td,2001,Value (USD),200000,
DT/Td,2000,Value (USD),100000,
DTwP-HepB,2012,Value (USD),300000,
DTwP-HepB,2011,Value (USD),1100000,
DTwP-HepB,2010,Value (USD),700000,
DTwP-HepB,2009,Value (USD),1500000,
DTwP-HepB,2008,Value (USD),10000000,
DTwP-HepB,2007,Value (USD),45200000,
DTwP-HepB,2006,Value (USD),33500000,
DTwP-HepB,2005,Value (USD),13100000,
DTwP-HepB,2004,Value (USD),15000000,
DTwP-HepB,2003,Value (USD),14700000,
DTwP-HepB,2002,Value (USD),8200000,
DTwP-HepB,2001,Value (USD),14900000,
DTwP-Hib,2011,Value (USD),12800000,
DTwP-Hib,2010,Value (USD),11900000,
DTwP-Hib,2009,Value (USD),8700000,
DTwP-Hib,2008,Value (USD),6800000,
DTwP-Hib,2007,Value (USD),9400000,
DTwP-Hib,2006,Value (USD),4700000,
DTwP-Hib,2005,Value (USD),1100000,
DTwP-Hib,2004,Value (USD),5600000,
DTwP-Hib,2003,Value (USD),9600000,
DTwP-Hib,2002,Value (USD),700000,
HepB,2019,Value (USD),5680000,
HepB,2018,Value (USD),4400000,
HepB,2017,Value (USD),4900000,
HepB,2016,Value (USD),5100000,
HepB,2015,Value (USD),3100000,
HepB,2014,Value (USD),3600000,
HepB,2013,Value (USD),4300000,
HepB,2012,Value (USD),4100000,
HepB,2011,Value (USD),3200000,
HepB,2010,Value (USD),5300000,
HepB,2009,Value (USD),12500000,
HepB,2008,Value (USD),16800000,
HepB,2007,Value (USD),12900000,
HepB,2006,Value (USD),20100000,
HepB,2005,Value (USD),23600000,
HepB,2004,Value (USD),18900000,
HepB,2003,Value (USD),17200000,
HepB,2002,Value (USD),14600000,
HepB,2001,Value (USD),9700000,
HepB,2000,Value (USD),3100000,
HPV,2019,Value (USD),56850000,
HPV,2018,Value (USD),29800000,
HPV,2017,Value (USD),26500000,
HPV,2016,Value (USD),16500000,
HPV,2015,Value (USD),19500000,
HPV,2014,Value (USD),10100000,
IPV,2019,Value (USD),218400000,
IPV,2018,Value (USD),89200000,
IPV,2017,Value (USD),60100000,
IPV,2016,Value (USD),60400000,
IPV,2015,Value (USD),80400000,
IPV,2014,Value (USD),27700000,
JE,2019,Value (USD),150000,
JE,2018,Value (USD),700000,
JE,2017,Value (USD),8300000,
JE,2016,Value (USD),100000,
JE,2015,Value (USD),3600000,
JE,2014,Value (USD),500000,
Measles,2019,Value (USD),50390000,
Measles,2018,Value (USD),48100000,
Measles,2017,Value (USD),31700000,
Measles,2016,Value (USD),38200000,
Measles,2015,Value (USD),47000000,
Measles,2014,Value (USD),45100000,
Measles,2013,Value (USD),73200000,
Measles,2012,Value (USD),38200000,
Measles,2011,Value (USD),40000000,
Measles,2010,Value (USD),37600000,
Measles,2009,Value (USD),28100000,
Measles,2008,Value (USD),36000000,
Measles,2007,Value (USD),45000000,
Measles,2006,Value (USD),30500000,
Measles,2005,Value (USD),34800000,
Measles,2004,Value (USD),19600000,
Measles,2003,Value (USD),23700000,
Measles,2002,Value (USD),17000000,
Measles,2001,Value (USD),12200000,
Measles,2000,Value (USD),9200000,
Meningococcal,2019,Value (USD),12960000,
Meningococcal,2018,Value (USD),48300000,
Meningococcal,2017,Value (USD),16100000,
Meningococcal,2016,Value (USD),25900000,
