Code,Country,WB_Code,WB_name,Classification,GNI_pc,Population,Birth_rate,Annual_births
2,CHINA,CHN,China,UMIC,9470," 1,392,730,000 ",12.43," 17,311,633.9 "
23,CUBA,CUB,Cuba,UMIC,7230," 11,338,138 ",10.386," 117,757.9 "
1,TURKMENISTAN,TKM,Turkmenistan,UMIC,6740," 5,850,908 ",24.615," 144,020.1 "
5,BOSNIA_HERZEGOVINA,BIH,Bosnia and Herzegovina,UMIC,5690," 3,323,929 ",8.293," 27,565.3 "
87,Belarus,BLR,Belarus,UMIC,5670," 9,485,386 ",10.8," 102,442.2 "
80,Iran,IRN,"Iran, Islamic Rep.",UMIC,5470," 81,800,269 ",19.011," 1,555,104.9 "
91,Macedonia,MKD,North Macedonia,UMIC,5450," 2,082,958 ",10.953," 22,814.6 "
97,Tuvalu,TUV,Tuvalu,UMIC,5430," 11,508 ",23.7, 272.7 
88,Namibia,NAM,Namibia,UMIC,5250," 2,448,255 ",29.105," 71,256.5 "
81,Iraq,IRQ,Iraq,UMIC,5030," 38,433,600 ",29.693," 1,141,208.9 "
89,Jamaica,JAM,Jamaica,UMIC,4990," 2,934,855 ",16.286," 47,797.0 "
4,ALBANIA,ALB,Albania,UMIC,4860," 2,866,376 ",11.934," 34,207.3 "
13,GUYANA,GUY,Guyana,UMIC,4760," 779,004 ",20.202," 15,737.4 "
94,Belize,BLZ,Belize,UMIC,4720," 383,071 ",21.081," 8,075.5 "
96,Tonga,TON,Tonga,UMIC,4300," 103,197 ",24.626," 2,541.3 "
10,ARMENIA,ARM,Armenia,UMIC,4230," 2,951,776 ",14.298," 42,204.5 "
84,Jordan,JOR,Jordan,UMIC,4210," 9,956,011 ",22.622," 225,224.9 "
95,Samoa,WSM,Samoa,UMIC,4190," 196,130 ",24.689," 4,842.3 "
9,GEORGIA,GEO,Georgia,UMIC,4130," 3,731,000 ",13.718," 51,181.9 "
6,SRI_LANKA,LKA,Sri Lanka,UMIC,4060," 21,670,000 ",16.106," 349,017.0 "
82,Algeria,DZA,Algeria,UMIC,4060," 42,228,429 ",24.846," 1,049,207.5 "
3,AZERBAIJAN,AZE,Azerbaijan,UMIC,4050," 9,942,334 ",14.6," 145,158.1 "
90,Eswatini,SWZ,Eswatini,LMIC,3850," 1,136,191 ",26.773," 30,419.2 "
7,INDONESIA,IDN,Indonesia,LMIC,3840," 267,663,435 ",18.422," 4,930,895.8 "
79,Philippines,PHL,Philippines,LMIC,3830," 106,651,922 ",21.036," 2,243,529.8 "
86,El Salvador,SLV,El Salvador,LMIC,3820," 6,420,744 ",18.429," 118,327.9 "
8,MONGOLIA,MNG,Mongolia,LMIC,3580," 3,170,208 ",24.833," 78,725.8 "
85,Tunisia,TUN,Tunisia,LMIC,3500," 11,565,204 ",18.01," 208,289.3 "
92,Cape_Verde,CPV,Cabo Verde,LMIC,3450," 543,767 ",19.919," 10,831.3 "
14,BOLIVIA,BOL,Bolivia,LMIC,3370," 11,353,142 ",22.076," 250,632.0 "
19,ANGOLA,AGO,Angola,LMIC,3370," 30,809,762 ",41.281," 1,271,857.8 "
31,KIRIBATI,KIR,Kiribati,LMIC,3140," 115,847 ",28.294," 3,277.8 "
83,Morocco,MAR,Morocco,LMIC,3090," 36,029,138 ",19.399," 698,929.2 "
12,BHUTAN,BTN,Bhutan,LMIC,3080," 754,394 ",17.459," 13,171.0 "
21,MOLDOVA,MDA,Moldova,LMIC,2990," 3,545,883 ",10.274," 36,430.4 "
93,Vanuatu,VUT,Vanuatu,LMIC,2970," 292,680 ",30.015," 8,784.8 "
78,Egypt,EGY,"Egypt, Arab Rep.",LMIC,2800," 98,423,595 ",27.05," 2,662,358.2 "
11,UKRAINE,UKR,Ukraine,LMIC,2660," 44,622,516 ",9.4," 419,451.7 "
33,PAPUA_NEW_GUINEA,PNG,Papua New Guinea,LMIC,2530," 8,606,316 ",27.364," 235,503.2 "
17,LAO,LAO,Lao PDR,LMIC,2460," 7,061,507 ",23.955," 169,158.4 "
18,VIETNAM,VNM,Vietnam,LMIC,2400," 95,540,395 ",16.979," 1,622,180.4 "
28,HONDURAS,HND,Honduras,LMIC,2330," 9,587,522 ",21.859," 209,573.6 "
69,DJIBOUTI,DJI,Djibouti,LMIC,2180," 958,920 ",21.944," 21,042.5 "
30,GHANA,GHA,Ghana,LMIC,2130," 29,767,108 ",29.839," 888,220.7 "
26,NICARAGUA,NIC,Nicaragua,LMIC,2030," 6,465,513 ",21.06," 136,163.7 "
15,UZBEKISTAN,UZB,Uzbekistan,LMIC,2020," 32,955,400 ",22.1," 728,314.3 "
16,INDIA,IND,India,LMIC,2020," 1,352,617,328 ",18.083," 24,459,379.1 "
49,SOLOMON_ISLANDS,SLB,Solomon Islands,LMIC,2000," 652,858 ",32.877," 21,464.0 "
25,NIGERIA,NGA,Nigeria,LMIC,1960," 195,874,740 ",38.384," 7,518,456.0 "
41,SAO_TOME_AND_PRINCIPE,STP,São Tomé and Principe,LMIC,1890," 211,028 ",31.967," 6,745.9 "
20,TIMOR_LESTE,TLS,Timor-Leste,LMIC,1820," 1,267,972 ",29.453," 37,345.6 "
98,Syria,SYR,Syria,LIC,1820," 16,906,283 ",24.115," 407,695.0 "
52,ZIMBABWE,ZWE,Zimbabwe,LMIC,1790," 14,439,018 ",31.732," 458,178.9 "
32,BANGLADESH,BGD,Bangladesh,LMIC,1750," 161,356,039 ",18.501," 2,985,248.1 "
27,CONGO,COG,"Congo, Rep.",LMIC,1640," 5,244,363 ",33.378," 175,046.3 "
44,KENYA,KEN,Kenya,LMIC,1620," 51,393,010 ",29.296," 1,505,609.6 "
36,IVORY_COST,CIV,Côte d'Ivoire,LMIC,1610," 25,069,229 ",35.993," 902,316.8 "
